,epoch,loss,hsax_loss,scx_loss,rp_loss,hsax_mse,scx_mse,rp_mse,val_loss,val_hsax_loss,val_scx_loss,val_rp_loss,val_hsax_mse,val_scx_mse,val_rp_mse,lr,CV,epoch
0,1,2322.70361328125,0.7259522080421448,0.7460380792617798,2247.693115234375,0.2538931667804718,0.26265251636505127,2247.693115234375,39804.76171875,0.9560976028442383,1.9316396713256836,39658.81640625,0.34869301319122314,0.38655954599380493,39658.81640625,0.009999999776482582,1,2
1,2,2098.276123046875,0.5340223908424377,0.5842394232749939,2040.7037353515625,0.1764928698539734,0.1978352665901184,2040.7037353515625,55434.96875,2.793736457824707,0.7997633814811707,55253.49609375,0.4165624976158142,0.2712203860282898,55253.49609375,0.009999999776482582,1,3
2,3,1912.4178466796875,0.3928249478340149,0.4846265912055969,1866.6790771484375,0.11791529506444931,0.15500736236572266,1866.6790771484375,34539.671875,5.147846221923828,0.5041936635971069,34255.12890625,0.4351837933063507,0.16584816575050354,34255.12890625,0.009999999776482582,1,4
3,4,1650.3660888671875,0.276374489068985,0.40871676802635193,1614.135009765625,0.07975552976131439,0.12827615439891815,1614.135009765625,12774.7431640625,7.182295322418213,0.4070003628730774,12393.263671875,0.47191140055656433,0.12790995836257935,12393.263671875,0.009999999776482582,1,5
4,5,1338.5711669921875,0.21909233927726746,0.3606318533420563,1307.552490234375,0.06456000357866287,0.1123514398932457,1307.552490234375,10091.97265625,7.44063138961792,0.40352699160575867,9697.7158203125,0.39522188901901245,0.13273607194423676,9697.7158203125,0.009999999776482582,1,6
5,6,992.8419799804688,0.1946493685245514,0.3240832984447479,964.8524169921875,0.057732947170734406,0.09906749427318573,964.8524169921875,5431.82177734375,5.8819122314453125,0.5032042264938354,5110.5107421875,0.3946186304092407,0.1637692153453827,5110.5107421875,0.009999999776482582,1,7
6,7,654.48291015625,0.1804724484682083,0.29348140954971313,628.7306518554688,0.0535399466753006,0.08833254128694534,628.7306518554688,2686.298583984375,3.0176610946655273,0.45310673117637634,2510.70849609375,0.3751710057258606,0.14745134115219116,2510.70849609375,0.009999999776482582,1,8
7,8,362.7834167480469,0.17493836581707,0.2696496546268463,338.5060729980469,0.05108492076396942,0.07848813384771347,338.5060729980469,1393.036376953125,2.334167242050171,0.5248479843139648,1248.0452880859375,0.3453723192214966,0.16237463057041168,1248.0452880859375,0.009999999776482582,1,9
8,9,166.74081420898438,0.16354034841060638,0.26010796427726746,143.52444458007812,0.04720831662416458,0.0756172314286232,143.52444458007812,628.6214599609375,1.100526213645935,0.34641867876052856,554.2494506835938,0.23241540789604187,0.11060801893472672,554.2494506835938,0.009999999776482582,1,10
9,10,73.2010498046875,0.15711075067520142,0.2505815029144287,50.79889678955078,0.04562331736087799,0.07152537256479263,50.79889678955078,180.10955810546875,0.5761748552322388,0.2948964238166809,134.5498046875,0.14327268302440643,0.0933823436498642,134.5498046875,0.009999999776482582,1,11
10,11,49.23384094238281,0.1589997559785843,0.25042951107025146,26.76435661315918,0.04608815535902977,0.07257240265607834,26.76435661315918,74.3305892944336,0.4615601599216461,0.2824907898902893,35.142032623291016,0.12182649970054626,0.08882155269384384,35.142032623291016,0.009999999776482582,1,12
11,12,50.90518569946289,0.1625525802373886,0.24480324983596802,28.55803108215332,0.04764736816287041,0.0703619047999382,28.55803108215332,52.45114517211914,0.22748428583145142,0.3000287711620331,24.106468200683594,0.06829560548067093,0.0935727059841156,24.106468200683594,0.009999999776482582,1,13
12,13,48.70506286621094,0.15585671365261078,0.23902325332164764,26.99916648864746,0.04514294117689133,0.06803605705499649,26.99916648864746,65.90514373779297,0.4098448157310486,0.2596307694911957,30.4797420501709,0.11125694215297699,0.08023124188184738,30.4797420501709,0.009999999776482582,1,14
13,14,46.91014862060547,0.15091241896152496,0.2386355698108673,25.490259170532227,0.04416082054376602,0.06839128583669662,25.490259170532227,50.00468063354492,0.2220352590084076,0.34209144115448,19.86847686767578,0.06620441377162933,0.10880109667778015,19.86847686767578,0.009999999776482582,1,15
14,15,41.55194091796875,0.1417497843503952,0.2350391000509262,20.790616989135742,0.04064415395259857,0.06688227504491806,20.790616989135742,61.005218505859375,0.2646692991256714,0.32629022002220154,29.54780387878418,0.07699093967676163,0.10340496897697449,29.54780387878418,0.009999999776482582,1,16
15,16,42.077980041503906,0.1432240903377533,0.23206613957881927,21.413043975830078,0.041091062128543854,0.06617352366447449,21.413043975830078,43.025001525878906,0.2047216296195984,0.2557448446750641,18.113996505737305,0.05991099774837494,0.07835622876882553,18.113996505737305,0.009999999776482582,1,17
16,17,41.110599517822266,0.14549244940280914,0.23581081628799438,20.166038513183594,0.042622003704309464,0.06760867685079575,20.166038513183594,43.53519058227539,0.22766590118408203,0.23944352567195892,18.311552047729492,0.0684940442442894,0.072159543633461,18.311552047729492,0.009999999776482582,1,18
17,18,40.19559097290039,0.14052195847034454,0.22770783305168152,19.9223690032959,0.04030471667647362,0.06447181850671768,19.9223690032959,51.90378189086914,0.33428093791007996,0.3134387731552124,17.665103912353516,0.0902312621474266,0.09573335945606232,17.665103912353516,0.009999999776482582,1,19
18,19,40.106990814208984,0.13471412658691406,0.23038344085216522,20.006542205810547,0.03873539716005325,0.06578695774078369,20.006542205810547,45.327110290527344,0.20435768365859985,0.319339394569397,17.306264877319336,0.060426436364650726,0.09562771022319794,17.306264877319336,0.009999999776482582,1,20
